outcome,specification,estimate,estimate_bc,se_conv,se_robust,ci_lower,ci_upper,bandwidth,N_eff,N_left,N_right,method
TIENE_BILLETERA,RDD2_IFH_baseline,0.028040310390495784,,,0.021111426247361433,-0.013338085054332628,0.0694187058353242,12.481562187159202,5052,2064,2988,rdrobust
TIENE_BILLETERA,RDD2_IFH_covariates,0.027152007564344636,,,0.018364926359070145,-0.008843248099432842,0.06314726322812211,11.51951024050747,4653,1927,2726,rdrobust
USA_BILLETERA,RDD2_IFH_baseline,0.015182935069400891,,,0.02358268654872201,-0.03103913056609425,0.06140500070489603,10.762008959696843,4479,1885,2594,rdrobust
USA_BILLETERA,RDD2_IFH_covariates,0.010793673290488928,,,0.01515195072158591,-0.018904150123819456,0.04049149670479731,11.0261477983603,4505,1900,2605,rdrobust
INTERNET_HOGAR,RDD2_IFH_balance_INTERNET_HOGAR,0.05544574213652065,,,0.15534916177428973,-0.2490386149410872,0.3599300992141285,15.710013415108627,6178,2366,3812,rdrobust
NIVEL_EDUCATIVO,RDD2_IFH_balance_NIVEL_EDUCATIVO,0.04706627993960932,,,0.9764579426151394,-1.866791287586064,1.9609238474652826,23.69596230795117,8190,2868,5322,rdrobust
INGRESO_PC,RDD2_IFH_balance_INGRESO_PC,22.797599987899957,,,3685.3115115944183,-7200.412962737159,7246.008162712959,22.258821418372627,8028,2842,5186,rdrobust
