submuestra,bw,N,fs_coef,fs_se,fs_pval,fs_sig,rf_coef,rf_se,rf_pval,rf_sig,iv_late,iv_se,iv_pval,iv_sig,ic95_lo,ic95_hi
ELEGIBLE_IFH=1,3,1462,0.09438122776726043,0.017039824256584634,3.6187949747912285e-08,***,0.005097942001008115,0.032129870458156205,0.8739534125578641,,0.05401436410193131,0.3405661420144742,0.8740046652834921,no significativo,-0.6134952742464381,0.7215240024503007
ELEGIBLE_IFH=1,5,2331,0.13484143456446446,0.017515933818681138,2.042810365310288e-14,***,-0.003763997917504561,0.023813971851205457,0.8744245069000347,,-0.027914252986570562,0.1766444480269759,0.8744507474282801,no significativo,-0.37413737111944334,0.3183088651463022
POBREZA=1,3,310,0.1578730662902177,0.044640162110780486,0.0004692186463055581,***,0.05286589852515304,0.02812417150276239,0.061094642615764805,*,0.3348633162541467,0.20174433275128556,0.09797104760381048,*,-0.06055557593837296,0.7302822084466665
POBREZA=1,5,496,0.20199373318914077,0.0436359386705436,4.7172568444775465e-06,***,0.040046616709533814,0.026381169736703538,0.12965666892583605,,0.1982567284502603,0.13744697991578583,0.1498192701716603,no significativo,-0.07113935218467995,0.46765280908520057
