outcome,rdd1_estimate,rdd1_se,rdd1_ci_lower,rdd1_ci_upper,rdd1_bandwidth_yr,rdd1_N_eff,rdd1_method,rdd2_estimate,rdd2_se,rdd2_ci_lower,rdd2_ci_upper,rdd2_bandwidth_sd,rdd2_N_eff,rdd2_method
TIENE_BILLETERA,0.0006,0.0187,-0.0361,0.0373,18.04,35006,rdrobust,-0.03,0.0171,-0.0636,0.0035,1.351,4606,rdrobust
USA_BILLETERA,0.0015,0.018,-0.0337,0.0367,17.29,33267,rdrobust,-0.0057,0.0037,-0.013,0.0016,0.806,2775,rdrobust
