submuestra,bandwidth,N,N_izq,N_der,ratio_densidad,first_stage_bruto,first_stage_rd,forma_reducida_bruta,forma_reducida_rd,iv_estimate
ELEGIBLE_IFH=1 (criterio SISFOH),3,1462,668,794,0.8413098236775819,0.24093264248704663,0.09438122776726043,-0.013469283096275958,0.005097942001008115,0.05401436410193131
ELEGIBLE_IFH=1 (criterio SISFOH),5,2331,1138,1193,0.9538977367979883,0.2930591259640103,0.13484143456446446,-0.020260983446201267,-0.003763997917504561,-0.027914252986570562
POBREZA=1 (pobreza extrema INEI),3,310,148,162,0.9135802469135802,0.3375796178343949,0.1578730662902177,0.011177844511177842,0.05286589852515304,0.3348633162541467
POBREZA=1 (pobreza extrema INEI),5,496,238,258,0.9224806201550387,0.42292490118577075,0.20199373318914077,0.0022474105921438323,0.040046616709533814,0.1982567284502603
